reference,name,description,documentation-url,organisations,local-plan-boundary,period-start-date,period-end-date,adopted-date,entry-date,start-date,end-date
adur-district-council-local-plan-2017,Adur District Council Local Plan 2017,,https://www.adur-worthing.gov.uk/adur-local-plan/,local-authority:ADU,,2017,2032,2017-12-14,,,
amber-valley-borough-council-local-plan-2022,Amber Valley Borough Council Local Plan 2022,,https://www.ambervalley.gov.uk/planning/planning-policy/local-plan/,local-authority:AMB,,2022,2040,,,,
arun-district-council-local-plan-2011,Arun District Council Local Plan 2011,,https://www.arun.gov.uk/adopted-local-plan/,local-authority:ARU,,2011,2031,2018-07-18,,,
ashfield-district-council-local-plan-2002,Ashfield District Council Local Plan 2002,,https://www.ashfield.gov.uk/planning-building-control/local-plan/current-development-plan/,local-authority:ASH,,2002,,2002-11-22,,,
ashford-borough-council-local-plan-2019,Ashford Borough Council Local Plan 2019,,https://www.ashford.gov.uk/planning-and-development/planning-policy/adopted-development-plan-documents/adopted-local-plan-to-2030/,local-authority:ASF,,2019,2030,2019-02-01,,,
babergh-district-council-local-plan-2023,Babergh District Council Local Plan 2023,,https://www.babergh.gov.uk/joint-local-plan?p_l_back_url=%2Fsearch%3Fq%3DLocal%2BPlans,local-authority:BAB,,2023,2037,2023-11-20,,,
basildon-borough-council-local-plan-2011,Basildon Borough Council Local Plan 2011,,https://www.basildon.gov.uk/adoptedplan,local-authority:BAI,,2011,2029,2016-05-01,,,
wyre-forest-district-council-local-plan-2016,Wyre Forest District Council Local Plan 2016,,https://www.wyreforestdc.gov.uk/planning-and-buildings/planning-policy/wyre-forest-district-local-plan-2016-2036/,local-authority:WYE,,2016,2036,2022-04-26,,,
wyre-borough-council-local-plan-2011,Wyre Borough Council Local Plan 2011,,https://www.wyre.gov.uk/planning-policy/local-plan-partial-review-2011-2031-1/8,local-authority:WYR,,2011,2031,,,,
worthing-borough-council-local-plan-2020,Worthing Borough Council Local Plan 2020,,https://www.adur-worthing.gov.uk/worthing-local-plan-2023/,local-authority:WOT,,2020,2036,2023-03-28,,,
worcestershire-county-council-local-plan-2022,Worcestershire County Council Local Plan 2022,,https://www.worcestershire.gov.uk/council-services/planning-and-developments/planning-policy-and-strategy/local-development-scheme,local-authority:WOR,,2022,2025,2022-07-01,,,
worcester-city-council-local-plan-2023,Worcester City Council Local Plan 2023,,https://www.worcester.gov.uk/planning/planning-policy/local-development-framework,local-authority:WOC,,2023,2026,2023-09-26,,,
wokingham-borough-council-local-plan-2010,Wokingham Borough Council Local Plan 2010,,https://www.wokingham.gov.uk/planning-policy/adopted-development-plan/local-plans,local-authority:WOK,,2010,2026,2010-01-29,,,
woking-borough-council-local-plan-2012,Woking Borough Council Local Plan 2012,,https://www.woking2027.info/developmentplan,local-authority:WOI,,2012,2027,2012-10-25,,,
uttlesford-district-council-local-plan-2021,Uttlesford District Council Local Plan 2021,,https://www.uttlesford.gov.uk/reg-19-consultation,local-authority:UTT,,2021,2041,,,,
bassetlaw-district-council-local-plan-2020,Bassetlaw District Council Local Plan 2020,,https://www.bassetlaw.gov.uk/planning-and-building/bassetlaw-local-plan-2020-2038/bassetlaw-local-plan-2020-2038/,local-authority:BAE,,2020,2038,2024-05-29,,,
bedford-borough-council-local-plan-2018,Bedford Borough Council Local Plan 2018,,https://www.bedford.gov.uk/planning-and-building-control/planning-policy/local-plan-2030/local-plan-2030-overview,local-authority:BDF,,2018,2030,2020-01-15,,,
blaby-district-council-local-plan-2019,Blaby District Council Local Plan 2019,,https://www.blaby.gov.uk/planning-and-building/local-plan/local-plan-delivery-dpd/,local-authority:BLA,,2019,,2019-02-04,,,
blackburn-with-darwen-borough-council-local-plan-2021,Blackburn with Darwen Borough Council Local Plan 2021,,Local Plan 2021 to 2037 | Blackburn with Darwen Borough Council,local-authority:BBD,,2021,2037,2024-01-25,,,
bolsover-district-council-local-plan-2022,Bolsover District Council Local Plan 2022,,https://www.bolsover.gov.uk/index.php?option=com_content&view=category&id=233,local-authority:BOS,,2022,2025,2022-02-25,,,
bolton-metropolitan-borough-council-local-plan-2011,Bolton Metropolitan Borough Council Local Plan 2011,,https://www.bolton.gov.uk/planning-policy-strategy/core-strategy/1,local-authority:BOL,,2011,2026,2011-02-02,,,
borough-council-of-kings-lynn-and-west-norfolk-local-plan-2005,Borough Council of Kings Lynn and West Norfolk Local Plan 2005,,https://www.west-norfolk.gov.uk/info/20219/core_strategy/112/core_strategy_explained,local-authority:KIN,,2005,2026,2011-07-28,,,
boston-borough-council-local-plan-2011,Boston Borough Council Local Plan 2011,,https://southeastlincslocalplan.org/article/20102/Adopted-Plan,local-authority:BOT,,2011,2036,2019-03-08,,,
bracknell-forest-council-local-plan-2024,Bracknell Forest Council Local Plan 2024,,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/development-plan/bracknell-forest-local-plan/about-bracknell-forest-local-plan,local-authority:BRC,,2024,2037,2024-03-19,,,
braintree-district-council-local-plan-2014,Braintree District Council Local Plan 2014,,https://www.braintree.gov.uk/planning-building-control/local-plan-2033/2,local-authority:BRA,,2014,2033,2022-07-25,,,
peterborough-city-council-local-plan-2019,Peterborough City Council Local Plan 2019,,https://www.peterborough.gov.uk/council/planning-and-development/planning-policies/local-development-plan,local-authority:PTE,,2019,2036,2019-07-24,,,
plymouth-city-council-local-plan-2019,Plymouth City Council Local Plan 2019,,https://www.plymouth.gov.uk/adopted-plymouth-and-south-west-devon-joint-local-plan,local-authority:PLY,,2019,2034,2019-03-26,,,
portsmouth-city-council-local-plan-2012,Portsmouth City Council Local Plan 2012,,https://www.portsmouth.gov.uk/services/development-and-planning/planning-policy/the-portsmouth-plan-adopted-2012/,local-authority:POR,,2012,2027,2012-07-21,,,
preston-city-council-local-plan-2012,Preston City Council Local Plan 2012,,https://www.preston.gov.uk/article/1050/Preston-s-Local-Plan,local-authority:PRE,,2012,2026,2015-07-02,,,
calderdale-metropolitan-borough-council-local-plan-2018,Calderdale Metropolitan Borough Council Local Plan 2018,,https://new.calderdale.gov.uk/planning-and-building-control/planning-policy/local-plan,local-authority:CLD,,2018,2033,2023-03-22,,,
cambridge-city-council-local-plan-2018,Cambridge City Council Local Plan 2018,,https://www.cambridge.gov.uk/local-plan-2018,local-authority:CAB,,2018,2031,2018-10-18,,,
cambridgeshire-county-council-local-plan-2018,Cambridgeshire County Council Local Plan 2018,,https://consultations.greatercambridgeplanning.org/greater-cambridge-local-plan-preferred-options/about-plan,local-authority:CAM,,2018,2041,,,,
cannock-chase-district-council-local-plan-2006,Cannock Chase District Council Local Plan 2006,,https://www.cannockchasedc.gov.uk/residents/planning-and-building-control/planning-policy/cannock-chase-local-plan,local-authority:CAN,,2006,2028,2014-06-11,,,
castle-point-borough-council-local-plan-1998,Castle Point Borough Council Local Plan 1998,,https://www.castlepoint.gov.uk/adopted-local-plan/,local-authority:CAS,,1998,,2007-09-27,,,
central-bedfordshire-council-local-plan-2015,Central Bedfordshire Council Local Plan 2015,,https://www.centralbedfordshire.gov.uk/info/153/central_bedfordshire_local_plan_2015_to_2035/1034/adopted_local_plan,local-authority:CBF,,2015,2035,2021-07-01,,,
charnwood-borough-council-local-plan-2021,Charnwood Borough Council Local Plan 2021,,https://www.charnwood.gov.uk/pages/charnwood_local_plan_2021_37,local-authority:CHA,,2021,2037,,,,
chelmsford-city-council-local-plan-2013,Chelmsford City Council Local Plan 2013,,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-local-plan/adopted-local-plan/,local-authority:CHL,,2013,2036,2020-05-27,,,
cheltenham-borough-council-local-plan-2011,Cheltenham Borough Council Local Plan 2011,,https://www.cheltenham.gov.uk/info/46/planning_policy/1034/the_cheltenham_plan,local-authority:CHT,,2011,2031,2020-07-20,,,
cherwell-district-council-local-plan-2011,Cherwell District Council Local Plan 2011,,https://www.cherwell.gov.uk/info/83/local-plans/376/adopted-cherwell-local-plan-2011-2031-part-1,local-authority:CHR,,2011,2031,2015-07-20,,,
cheshire-east-council-local-plan-2010,Cheshire East Council Local Plan 2010,,https://www.cheshireeast.gov.uk/planning/spatial-planning/cheshire_east_local_plan/cheshire_east_local_plan.aspx,local-authority:CHE,,2010,2030,2017-07-27,,,
chesterfield-borough-council-local-plan-2018,Chesterfield Borough Council Local Plan 2018,,https://www.chesterfield.gov.uk/planning-and-building-control/planning-policy-and-the-local-plan/development-plan-the-local-plan/,local-authority:CHS,,2018,2035,2020-07-15,,,
chichester-district-council-local-plan-2021,Chichester District Council Local Plan 2021,,https://www.chichester.gov.uk/article/35375/Chichester-Local-Plan-2021-2039,local-authority:CHI,,2021,2039,,,,
chorley-borough-council-local-plan-2012,Chorley Borough Council Local Plan 2012,,https://chorley.gov.uk/planning-policy/local-plan,local-authority:CHO,,2012,2026,2015-07-21,,,
city-of-bradford-metropolitan-district-council-local-plan-2020,City of Bradford Metropolitan District Council Local Plan 2020,,https://www.bradford.gov.uk/planning-and-building-control/planning-policy/bradford-district-local-plan/?Folder=Reg18\Consultation,local-authority:BRD,,2020,2038,,,,
city-of-lincoln-council-local-plan-2017,City of Lincoln Council Local Plan 2017,,https://www.lincoln.gov.uk/planning/new-local-plan-policies/1,local-authority:LIC,,2017,2040,2023-04-13,,,
city-of-westminster-local-plan-2019,City of Westminster Local Plan 2019,,https://www.westminster.gov.uk/planning-building-control-and-environmental-regulations/planning-policy/westminsters-planning-policies,local-authority:WSM,,2019,2040,2021-04-21,,,
colchester-borough-council-local-plan-2017,Colchester Borough Council Local Plan 2017,,https://www.colchester.gov.uk/local-plan/,local-authority:COL,,2017,2033,2021-02-02,,,
cornwall-council-local-plan-2010,Cornwall Council Local Plan 2010,,https://www.cornwall.gov.uk/planning-and-building-control/planning-policy/adopted-plans/,local-authority:CON,,2010,2030,2016-11-01,,,
cotswold-district-council-local-plan-2011,Cotswold District Council Local Plan 2011,,https://www.cotswold.gov.uk/planning-and-building/planning-policy/local-plan-2011-to-2031/,local-authority:COT,,2011,2031,2018-08-03,,,
council-of-the-isles-of-scilly-local-plan-2015,Council of the Isles of Scilly Local Plan 2015,,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,local-authority:IOS,,2015,2030,2021-03-25,,,
coventry-city-council-local-plan-2011,Coventry City Council Local Plan 2011,,https://www.coventry.gov.uk/planning-policy/coventry-local-plan-2011-2031,local-authority:COV,,2011,2031,2017-12-06,,,
crawley-borough-council-local-plan-2015,Crawley Borough Council Local Plan 2015,,https://crawley.gov.uk/planning/planning-policy/local-plan,local-authority:CRW,,2015,2030,2015-12-16,,,
,,,https://www.cumberland.gov.uk/planning-and-building-control/planning-policy/local-plan,local-authority:CUA,,2025,2045,,,,
darlington-borough-council-local-plan-2016,Darlington Borough Council Local Plan 2016,,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,local-authority:DAL,,2016,2036,2022-02-17,,,
derby-city-council-local-plan-2006,Derby City Council Local Plan 2006,,https://www.derby.gov.uk/environment-and-planning/planning/local-plan/,local-authority:DER,,2006,2028,2017-01-25,,,
derbyshire-dales-district-council-local-plan-2013,Derbyshire Dales District Council Local Plan 2013,,https://www.derbyshiredales.gov.uk/planning/planning-policy-and-local-plan/local-plan,local-authority:DEB,,2013,2033,2017-12-07,,,
doncaster-metropolitan-borough-council-local-plan-2015,Doncaster Metropolitan Borough Council Local Plan 2015,,https://www.doncaster.gov.uk/services/planning/local-plan,local-authority:DNC,,2015,2035,2021-09-23,,,
kirklees-council-local-plan-2013,Kirklees Council Local Plan 2013,,https://www.kirklees.gov.uk/beta/planning-policy/local-plan.aspx,local-authority:KIR,,2013,2031,2019-02-27,,,
knowsley-metropolitan-borough-council-local-plan-2006,Knowsley Metropolitan Borough Council Local Plan 2006,,https://www.knowsley.gov.uk/planning-and-development/planning-policy/introduction-local-plan,local-authority:KWL,,2006,2028,2016-01-06,,,
east-cambridgeshire-district-council-local-plan-2013,East Cambridgeshire District Council Local Plan 2013,,https://www.eastcambs.gov.uk/local-development-framework/east-cambridgeshire-local-plan-2015-amended-2023,local-authority:ECA,,2013,2031,2023-10-19,,,
east-devon-district-council-local-plan-2013,East Devon District Council Local Plan 2013,,https://eastdevon.gov.uk/planning/planning-policy/local-plan-2013-2031/,local-authority:EDE,,2013,2031,2016-01-18,,,
east-hampshire-district-council-local-plan-2011,East Hampshire District Council Local Plan 2011,,https://www.easthants.gov.uk/planning-services/planning-policy/local-plan/adopted-local-plan,local-authority:EHA,,2011,2028,2014-05-08,,,
east-hertfordshire-district-council-local-plan-2011,East Hertfordshire District Council Local Plan 2011,,https://www.eastherts.gov.uk/planning-and-building/planning-policy/east-herts-district-plan-2018,local-authority:EHE,,2011,2033,2018-10-23,,,
east-lindsey-district-council-local-plan-2018,East Lindsey District Council Local Plan 2018,,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,local-authority:ELI,,2018,2031,2018-07-18,,,
east-riding-of-yorkshire-council-local-plan-2012,East Riding of Yorkshire Council Local Plan 2012,,https://www.eastriding.gov.uk/planning-permission-and-building-control/planning-policy-and-the-local-plan/east-riding-local-plan/,local-authority:ERY,,2012,2029,2016-04-06,,,
east-staffordshire-borough-council-local-plan-2012,East Staffordshire Borough Council Local Plan 2012,,https://www.eaststaffsbc.gov.uk/planning/planning-policy/local-plan-2012-2031,local-authority:EST,,2012,2031,2015-10-15,,,
eastbourne-borough-council-local-plan-2001,Eastbourne Borough Council Local Plan 2001,,https://www.lewes-eastbourne.gov.uk/article/1942/Eastbourne-Local-Plan-2019-2039,local-authority:EAS,,2001,2011,2003-09-01,,,
eastleigh-borough-council-local-plan-2016,Eastleigh Borough Council Local Plan 2016,,https://www.eastleigh.gov.uk/planning-and-building/planning-policy-and-implementation/local-plan/local-plan-adoption,local-authority:EAT,,2016,2036,2022-04-25,,,
elmbridge-borough-council-local-plan-2011,Elmbridge Borough Council Local Plan 2011,,https://www.elmbridge.gov.uk/planning/new-local-plan/about-local-plans,local-authority:ELM,,2011,2026,2011-07-20,,,
epping-forest-district-council-local-plan-2011,Epping Forest District Council Local Plan 2011,,https://www.eppingforestdc.gov.uk/planning-and-building/planning-policy/adopted-local-plan-march-2023/,local-authority:EPP,,2011,2033,2023-03-06,,,
essex-county-council-local-plan-2021,Essex County Council Local Plan 2021,,,local-authority:ESS,,2021,2025,,,,
fenland-district-council-local-plan-2011,Fenland District Council Local Plan 2011,,https://www.fenland.gov.uk/developmentplan,local-authority:FEN,,2011,2031,2014-05-08,,,
folkestone-and-hythe-district-council-local-plan-2006,Folkestone and Hythe District Council Local Plan 2006,,https://www.folkestone-hythe.gov.uk/planning-policy/adopted-development-plan,local-authority:SHE,,2006,2026,2020-09-16,,,
fylde-borough-council-local-plan-2011,Fylde Borough Council Local Plan 2011,,https://new.fylde.gov.uk/resident/planning/planning-policy-local-plan/adopted-fylde-local-plan-to-2032-incorporating-partial-review/,local-authority:FYL,,2011,2032,2021-12-06,,,
gateshead-metropolitan-borough-council-local-plan-2010,Gateshead Metropolitan Borough Council Local Plan 2010,,https://www.gateshead.gov.uk/article/3251/Core-Strategy-and-Urban-Core-Plan-for-Gateshead-and-Newcastle-2010-2030,local-authority:GAT,,2010,2030,2015-03-26,,,
gedling-borough-council-local-plan-2011,Gedling Borough Council Local Plan 2011,,https://www.gedling.gov.uk/resident/planningandbuildingcontrol/planningpolicy/localplanningdocument/localplanningdocumentprogress/,local-authority:GED,,2011,2028,2014-09-10,,,
gloucester-city-council-local-plan-2011,Gloucester City Council Local Plan 2011,,https://www.gloucester.gov.uk/planning-development/planning-policy/adopted-development-plan/,local-authority:GLO,,2011,2031,2023-01-01,,,
gosport-borough-council-local-plan-2011,Gosport Borough Council Local Plan 2011,,https://www.gosport.gov.uk/article/1226/Gosport-Borough-Local-Plan-2011-2029,local-authority:GOS,,2011,2029,2015-10-14,,,
gravesham-borough-council-local-plan-2011,Gravesham Borough Council Local Plan 2011,,https://www.gravesham.gov.uk/local-plan-policy/local-plan,local-authority:GRA,,2011,2028,2014-09-01,,,
great-yarmouth-borough-council-local-plan-2013,Great Yarmouth Borough Council Local Plan 2013,,https://www.great-yarmouth.gov.uk/article/2489/Current-Local-Plan,local-authority:GRY,,2013,2030,2015-12-21,,,
greater-london-authority-local-plan-2019,Greater London Authority Local Plan 2019,,https://www.london.gov.uk/programmes-strategies/planning/london-plan/new-london-plan/london-plan-2021,local-authority:GLA,,2019,2041,,,,
greater-manchester-combined-authority-local-plan-2022,Greater Manchester Combined Authority Local Plan 2022,,https://www.greatermanchester-ca.gov.uk/what-we-do/planning-and-housing/places-for-everyone,local-authority:GMCA,,2022,2039,2024-03-21,,,
guildford-borough-council-local-plan-2015,Guildford Borough Council Local Plan 2015,,https://www.guildford.gov.uk/guildfordlocalplan,local-authority:GRT,,2015,2034,2024-02-21,,,
salford-city-council-local-plan-2023,Salford City Council Local Plan 2023,,https://www.salford.gov.uk/planning-building-and-regeneration/planning-policies/local-planning-policy/salfords-development-plan/salford-local-plan/part-one-salford-local-plan/salford-local-plan-adoption-2023/,local-authority:SLF,,2023,,2023-01-18,,,
sandwell-metropolitan-borough-council-local-plan-2026,Sandwell Metropolitan Borough Council Local Plan 2026,,https://www.sandwell.gov.uk/planning/sandwell-local-plan,local-authority:SAW,,2026,2041,,,,
sefton-metropolitan-borough-council-local-plan-2015,Sefton Metropolitan Borough Council Local Plan 2015,,https://www.sefton.gov.uk/planning-building-control/planning-policy-including-local-plan-and-neighbourhood-planning/local-plan/,local-authority:SFT,,2015,2030,2017-04-20,,,
sevenoaks-district-council-local-plan-2015,Sevenoaks District Council Local Plan 2015,,,local-authority:SEV,,2015,2035,2011-02-22,,,
shropshire-council-local-plan-2016,Shropshire Council Local Plan 2016,,https://www.shropshire.gov.uk/planning-policy/local-planning/local-plan-review/draft-shropshire-local-plan-2016-2038-examination/examination-library/core-submission-documents/,local-authority:SHR,,2016,2038,,,,
slough-borough-council-local-plan-2006,Slough Borough Council Local Plan 2006,,,local-authority:SLG,,2006,2026,2008-12-16,,,
,,,https://www.somerset.gov.uk/planning-buildings-and-land/somerset-local-plan/,local-authority:SUA,,2020,2040,,,,
south-derbyshire-district-council-local-plan-2011,South Derbyshire District Council Local Plan 2011,,https://www.southderbyshire.gov.uk/our-services/planning-and-building-control/planning/planning-policy/local-plan/adopted-local-plan,local-authority:SDE,,2011,2028,2016-06-13,,,
south-gloucestershire-council-local-plan-2006,South Gloucestershire Council Local Plan 2006,,https://beta.southglos.gov.uk/core-strategy-2006-2027/,local-authority:SGC,,2006,2027,2013-12-11,,,
south-hams-district-council-local-plan-2019,South Hams District Council Local Plan 2019,,https://www.southhams.gov.uk/your-council/council-plans-policies-and-reports/policies/planning-policies/plymouth-and-south-west,local-authority:SHA,,2019,2039,2019-03-26,,,
south-holland-district-council-local-plan-2011,South Holland District Council Local Plan 2011,,https://southeastlincslocalplan.org/article/20102/Adopted-Plan,local-authority:SHO,,2011,2036,2019-03-08,,,
south-kesteven-district-council-local-plan-2011,South Kesteven District Council Local Plan 2011,,https://www.southkesteven.gov.uk/planning-building-control/planning-policy-local-plans/local-plan-review,local-authority:SKE,,2011,2036,,,,
south-ribble-borough-council-local-plan-2015,South Ribble Borough Council Local Plan 2015,,https://southribble.gov.uk/planning-building-control/south-ribble-local-plan-2015,local-authority:SRI,,2015,,2015-07-22,,,
south-staffordshire-council-local-plan-2012,South Staffordshire Council Local Plan 2012,,https://www.sstaffs.gov.uk/planning/planning-policy/local-plan-review,local-authority:SST,,2012,,,,,
south-tyneside-council-local-plan-2023,South Tyneside Council Local Plan 2023,,https://www.southtyneside.gov.uk/article/11433/Key-documents,local-authority:STY,,2023,2040,,,,
spelthorne-borough-council-local-plan-2022,Spelthorne Borough Council Local Plan 2022,,https://www.spelthorne.gov.uk/localplan,local-authority:SPE,,2022,2037,,,,
st-albans-city-and-district-council-local-plan-1994,St Albans City and District Council Local Plan 1994,,https://www.stalbans.gov.uk/current-local-plan,local-authority:SAL,,1994,,,,,
stafford-borough-council-local-plan-2020,Stafford Borough Council Local Plan 2020,,https://www.staffordbc.gov.uk/local-plan,local-authority:STA,,2020,2040,,,,
staffordshire-moorlands-district-council-local-plan-2014,Staffordshire Moorlands District Council Local Plan 2014,,https://www.staffsmoorlands.gov.uk/localplan,local-authority:STF,,2014,2033,2020-09-09,,,
stevenage-borough-council-local-plan-2011,Stevenage Borough Council Local Plan 2011,,https://www.stevenage.gov.uk/planning-and-building-control/planning-policy/local-plan/stevenage-borough-local-plan,local-authority:STV,,2011,2031,2019-05-22,,,
stratfordonavon-district-council-local-plan-2011,Stratford-on-Avon District Council Local Plan 2011,,https://www.stratford.gov.uk/planning-building/core-strategy.cfm,local-authority:STR,,2011,2031,2016-07-11,,,
sunderland-city-council-local-plan-2024,Sunderland City Council Local Plan 2024,,https://www.sunderland.gov.uk/article/28664/Local-Plan-Evidence,local-authority:SND,,2024,2035,,,,
