reference,local-plan,name,local-plan-event,description,event-date,notes,entry-date,start-date,end-date,,,
arun-lp-tt-001,arun-district-council-local-plan-2011,Submit plan for examination,submit-plan-for-examination,,2015-01-30,,,,,,,
arun-lp-tt-002,arun-district-council-local-plan-2011,Planning inspectorate examination start,planning-inspectorate-examination-start,,2015-06-02,,,,,,,
arun-lp-tt-003,arun-district-council-local-plan-2011,Planning inspectorate examination end,planning-inspectorate-examination-end,,2017-09-28,,,,,,,
arun-lp-tt-004,arun-district-council-local-plan-2011,Planning inspectorate report published,inspector-report-published,,2018-07,,,,,,,
arun-lp-tt-005,arun-district-council-local-plan-2011,Plan adopted,plan-adopted,,2018-07-18,,,,,,,
ash-2019-lp-tt-001,ashford-borough-council-local-plan-2019,Submit plan for examination,submit-plan-for-examination,,2017-12-21,,,,,,,
ash-2019-lp-tt-002,ashford-borough-council-local-plan-2019,Planning inspectorate examination start,planning-inspectorate-examination-start,,2018-04-11,,,,,,,
ash-2019-lp-tt-003,ashford-borough-council-local-plan-2019,Planning inspectorate examination end,planning-inspectorate-examination-end,,2018-06-13,,,,,,,
ash-2019-lp-tt-004,ashford-borough-council-local-plan-2019,Planning inspectorate report published,inspector-report-published,,2019-01-02,,,,,,,
ash-2019-lp-tt-005,ashford-borough-council-local-plan-2019,Plan adopted,plan-adopted,,2019-02-21,,,,,,,
ash-2027-1,new-ashford-local-plan-to-2042,Estimated date regulation 18 draft local plan published,estimated-reg-18-draft-local-plan-published,,2025-04,,,,,,,
ash-2027-2,new-ashford-local-plan-to-2042,Estimated date regulation 19 publication local plan published,estimated-reg-19-publication-local-plan-published,,2026-02,,,,,,,
ash-2027-3,new-ashford-local-plan-to-2042,Estimated submit plan for examination,estimated-submit-plan-for-examination,,2026-09,,,,,,,
ash-2027-4,new-ashford-local-plan-to-2042,Estimated plan adoption date,estimated-plan-adoption-date,,2027-05-01,April/May 2027,,,,,,
cam-2017-1,london-borough-of-camden-local-plan-2017,Submit plan for examination,submit-plan-for-examination,,2016-06-24,,,,,,,
cam-2017-2,london-borough-of-camden-local-plan-2018,Planning inspectorate examination start,planning-inspectorate-examination-start,,2016-06,,,,,,,
cam-2017-3,london-borough-of-camden-local-plan-2019,Planning inspectorate examination end,planning-inspectorate-examination-end,,2017-05,,,,,,,
cam-2017-4,london-borough-of-camden-local-plan-2020,Planning inspectorate found sound,planning-inspectorate-found-sound,,2017-05-10,,,,,,,
cam-2017-5,london-borough-of-camden-local-plan-2021,Planning inspectorate report published,inspector-report-published,,2017-05,,,,,,,
cam-2017-6,london-borough-of-camden-local-plan-2022,Plan adopted,plan-adopted,,2017-07-03,,,,,,,
cam-2026-1,camden-local-plan-2026,Local development scheme published,timetable-published,,2023-12,,,,,,,
cam-2026-2,camden-local-plan-2026,Estimated regulation 19 public consultation start,estimated-reg-19-public-consultation-start,,2024,Consultation on Pre Submission Drafts - winter 2024,,,,,,
cam-2026-3,camden-local-plan-2026,Estimated regulation 19 public consultation end,estimated-reg-19-public-consultation-end,,2025,Consultation on Pre Submission Drafts - early 2025,,,,,,
cam-2026-4,camden-local-plan-2026,Estimated submit plan for examination,estimated-submit-plan-for-examination,,2025,"""Spring 2025""",,,,,,
cam-2026-5,camden-local-plan-2026,Estimated plan adoption date,estimated-plan-adoption-date,,2026,"""Summer 2026""",,,,,,
cam-2026-6,camden-local-plan-2026,Regulation 18 public consultation start,reg-18-public-consultation-start,,2020,consulted on a Draft Site Allocations Local Plan,,,,,,
cam-2026-7,camden-local-plan-2026,Regulation 18 public consultation end,reg-18-public-consultation-end,,2021,consulted on a Draft Site Allocations Local Plan,,,,,,
cam-2026-8,camden-local-plan-2026,Regulation 18 public consultation start,reg-18-public-consultation-start,,2022,consulted on a Draft Site Allocations Local Plan,,,,,,
cam-2026-9,camden-local-plan-2026,Regulation 18 public consultation end,reg-18-public-consultation-end,,2022,consulted on a Draft Site Allocations Local Plan,,,,,,
cam-2026-10,camden-local-plan-2026,Regulation 18 public consultation start,reg-18-public-consultation-start,,2024-01-17,,,,,,,
cam-2026-11,camden-local-plan-2026,Regulation 18 public consultation end,reg-18-public-consultation-end,,2024-03-13,,,,,,,
lbe-2039-1,london-borough-of-ealing-local-plan-2011,Estimated submit plan for examination,estimated-submit-plan-for-examination,,2024-05,May 2024,,,,,,
lbe-2039-2,london-borough-of-ealing-local-plan-2011,Estimated plan adoption date,estimated-plan-adoption-date,,2024-12,End of 2024/early 2025,,,,,,
lbe-2039-3,london-borough-of-ealing-local-plan-2011,Regulation 18 draft local plan published,reg-18-draft-local-plan-published,,2022-11-30,,,,,,,
lbe-2039-4,london-borough-of-ealing-local-plan-2011,Regulation 18 public consultation start,reg-18-public-consultation-start,,2022-11-30,,,,,,,
lbe-2039-5,london-borough-of-ealing-local-plan-2011,Regulation 18 public consultation end,reg-18-public-consultation-end,,2023-02-08,,,,,,,
lbe-2039-6,london-borough-of-ealing-local-plan-2011,Regulation 19 publication local plan published,reg-19-publication-local-plan-published,,2024-02-28,,,,,,,
lbe-2039-7,london-borough-of-ealing-local-plan-2011,Regulation 19 public consultation start,reg-19-public-consultation-start,,2024-02-28,,,,,,,
lbe-2039-8,london-borough-of-ealing-local-plan-2011,Regulation 19 public consultation end,reg-19-public-consultation-end,,2024-04-10,,,,,,,
eld-2018-lp-tt-001,east-lindsey-district-council-local-plan-2018,Submit plan for examination,submit-plan-for-examination,,2017-04-19,,,,,,,
eld-2018-lp-tt-002,east-lindsey-district-council-local-plan-2018,Plan adopted,plan-adopted,,2018-07-18,,,,,,,
isl-lp-tt-001,london-borough-of-islington-local-plan-2023,Regulation 18 public consultation start,reg-18-public-consultation-start,,2018-11-20,,,,,,,
isl-lp-tt-002,london-borough-of-islington-local-plan-2023,Regulation 18 public consultation end,reg-18-public-consultation-end,,2029-01-14,,,,,,,
isl-lp-tt-003,london-borough-of-islington-local-plan-2023,Regulation 19 public consultation start,reg-19-public-consultation-start,,2019-09-05,,,,,,,
isl-lp-tt-004,london-borough-of-islington-local-plan-2023,Regulation 19 public consultation end,reg-19-public-consultation-end,,2019-10-18,,,,,,,
isl-lp-tt-005,london-borough-of-islington-local-plan-2023,Submit plan for examination,submit-plan-for-examination,,2020-02,,,,,,,
isl-lp-tt-006,london-borough-of-islington-local-plan-2023,Planning inspectorate examination start,planning-inspectorate-examination-start,,2021-09,,,,,,,
isl-lp-tt-007,london-borough-of-islington-local-plan-2023,Planning inspectorate examination end,planning-inspectorate-examination-end,,2021-10,,,,,,,
isl-lp-tt-008,london-borough-of-islington-local-plan-2023,Plan adopted,plan-adopted,,2023-09-28,lew-2020-lp-tt-001,london-borough-of-lewisham-local-plan-2020,Regulation 18 public consultation start,reg-18-public-consultation-start,"The date a regulation 18 public consultation starts.  Relevant organisations are invited to make  representations, and the consultation opens to the  public",2015-10,followed by ongoing public and stakeholder engagement to October 2020
lew-2020-lp-tt-002,london-borough-of-lewisham-local-plan-2020,Regulation 18 public consultation end,reg-18-public-consultation-end,,2015-11,,,,,,,
lew-2020-lp-tt-003,london-borough-of-lewisham-local-plan-2020,Regulation 18 draft local plan published,reg-18-draft-local-plan-published,,2021-01-15,,,,,,,
lew-2020-lp-tt-004,london-borough-of-lewisham-local-plan-2020,Regulation 18 public consultation start,reg-18-public-consultation-start,,2021-01-15,,,,,,,
lew-2020-lp-tt-005,london-borough-of-lewisham-local-plan-2020,Regulation 18 public consultation end,reg-18-public-consultation-end,,2021-04-11,,,,,,,
lew-2020-lp-tt-006,london-borough-of-lewisham-local-plan-2020,Regulation 19 public consultation start,reg-19-public-consultation-start,,2023-03-01,,,,,,,
lew-2020-lp-tt-007,london-borough-of-lewisham-local-plan-2020,Regulation 19 public consultation end,reg-19-public-consultation-end,,2023-04-25,,,,,,,
lew-2020-lp-tt-008,london-borough-of-lewisham-local-plan-2020,Submit plan for examination,submit-plan-for-examination,,2023-11-03,,,,,,,
tan-new-0-1,new-local-plan-0-0,Estimated date regulation 18 draft local plan published,estimated-reg-18-draft-local-plan-published,,,Q2 2025/26,,,,,,
tan-new-0-2,new-local-plan-0-0,Estimated date regulation 19 publication local plan published,estimated-reg-19-publication-local-plan-published,,,Q1 2026/27,,,,,,
tan-new-0-3,new-local-plan-0-0,Estimated submit plan for examination,estimated-submit-plan-for-examination,,,Q3 2026/27,,,,,,
thu-2040-lp-tt-001,thurrock-local-plan-2040,Local development scheme published,timetable-published,,2023-09,September 2023,,,,,,
thu-2040-lp-tt-002,thurrock-local-plan-2040,Estimated date regulation 18 draft local plan published,estimated-reg-18-draft-local-plan-published,,2023-12,Winter 2023/24,,,,,,
thu-2040-lp-tt-003,thurrock-local-plan-2040,Estimated regulation 18 public consultation start,estimated-reg-18-public-consultation-start,,2023-12,Winter 2023/24,,,,,,
thu-2040-lp-tt-004,thurrock-local-plan-2040,Estimated regulation 18 public consultation end,estimated-reg-18-public-consultation-end,,2023-12,Winter 2023/24,,,,,,
thu-2040-lp-tt-005,thurrock-local-plan-2040,Estimated date regulation 19 publication local plan published,estimated-reg-19-publication-local-plan-published,,2024-09,Autumn/Winter 2024,,,,,,
thu-2040-lp-tt-006,thurrock-local-plan-2040,Estimated regulation 19 public consultation start,estimated-reg-19-public-consultation-start,,2024-09,Autumn/Winter 2024,,,,,,
thu-2040-lp-tt-007,thurrock-local-plan-2040,Estimated regulation 19 public consultation end,estimated-reg-19-public-consultation-end,,2024-09,Autumn/Winter 2024,,,,,,
thu-2040-lp-tt-008,thurrock-local-plan-2040,Estimated submit plan for examination,estimated-submit-plan-for-examination,,2025-03,Spring 2025,,,,,,
thu-2040-lp-tt-009,thurrock-local-plan-2040,Estimated plan adoption date,estimated-plan-adoption-date,,2026-07,Summer 2026,,,,,,
